Feature,R_squared,Adj_R_squared,F_statistic,F_pvalue,Neurodev_coef,Neurodev_pvalue,Genetic_coef,Genetic_pvalue,Age_coef,Age_pvalue,Sex_coef,Sex_pvalue,N_samples
EEG_Exponent_Frontal,0.213275118626368,,11.0470143881175,5.94232088837208e-08,-0.188061420536943,0.108143365144384,0.0698462005618786,0.594882480449343,-0.0142378407538362,1.34798594404462e-05,0.276293434749585,0.00468026006840483,168
EEG_Exponent_Central,0.293444444530668,,16.9241626112212,1.26443990385288e-11,-0.177601839059064,0.109366411312865,0.0171574223015127,0.890322811734802,-0.0199396338727054,4.6013570731418e-10,0.207329862788838,0.0244684959523191,168
EEG_Exponent_temporal_r,0.261753693425033,,14.4483797779582,4.04902242323478e-10,-0.207121669051813,0.0680776325734713,-0.0272477755180939,0.830366101982658,-0.0198900596221422,1.07506403779212e-09,0.132935803026406,0.156243922181738,168
EEG_Exponent_temporal_l,0.233265841692872,,12.3974952022118,7.94007397053991e-09,-0.233367137787581,0.0439194638999962,-0.0828994224324209,0.52268889717546,-0.0188420448554912,1.13150517844218e-08,0.156933807170713,0.100869238229512,168
EEG_Exponent_parietal_r,0.251313237293044,,13.6786369544776,1.22331385075452e-09,-0.162692741391138,0.153884204974484,0.0824749798157579,0.519869297045765,-0.0172487549998214,1.00815357617634e-07,0.210435318622068,0.0265080630491441,168
EEG_Exponent_parietal_l,0.228492036905085,,12.0686382374211,1.2911870593285e-08,-0.186958456433793,0.106788764152548,0.0551735707387111,0.671380997646361,-0.0171393102973452,1.77357583952542e-07,0.157747035469894,0.100172518875065,168
EEG_Exponent_Occipital,0.248983212926291,,13.5097724862848,1.56194302106682e-09,-0.173960527920233,0.128090689577364,0.103961907025441,0.418142570737504,-0.0171467961016868,1.2312918507007e-07,0.178928957220398,0.0590883020233028,168
EEG_Exponent_WholeBrain,0.27144096694579,,15.1823241510999,1.42859962965865e-10,-0.19982175434612,0.0763339438102937,0.0376769115605529,0.76557117008918,-0.0186054430022383,7.61397633830541e-09,0.205572330460943,0.0279870424486994,168
EEG_Offset_Frontal,0.275056782111437,,15.4612990293041,9.64514831318668e-11,-0.110545472806115,0.324014873860527,0.206304278385121,0.103041210852288,-0.016432538370551,2.3529297665803e-07,0.220188299653596,0.018427181841931,168
EEG_Offset_Central,0.305912419579649,,17.9601702285483,3.08387660964651e-12,-0.130753386551621,0.233514192104071,0.136733117614776,0.268420434683983,-0.0185896459535865,3.63593999352929e-09,0.235288523053398,0.0101770413387798,168
EEG_Offset_temporal_r,0.30688399576164,,18.0424672793823,2.75956645510311e-12,-0.14187658251338,0.195974419219483,0.157461191444746,0.202455479599134,-0.0183408528323256,5.46273004609077e-09,0.22647371334244,0.0132488549509786,168
EEG_Offset_temporal_l,0.312404612835868,,18.514504621048,1.46299098298766e-12,-0.116031560719637,0.287930935966624,0.0853033983624145,0.487378597423097,-0.019433926697165,7.03082703168434e-10,0.253860702068944,0.00542274596395043,168
EEG_Offset_parietal_r,0.309372537132956,,18.2543144690946,2.07445634885542e-12,-0.0998930895909842,0.3610993882977,0.128490258862973,0.297034993555061,-0.017097145822172,4.2247313425392e-08,0.347866202069778,0.000167028690885695,168
EEG_Offset_parietal_l,0.317612853289148,,18.9668340529529,7.99890546963189e-13,-0.0908232425973163,0.40342247128085,0.144302410835501,0.238936364514704,-0.0179115260520058,8.96148644180528e-09,0.312719967761499,0.000631839541568757,168
EEG_Offset_Occipital,0.296458653228063,,17.1712581989295,9.0123689508552e-12,-0.0760950016135465,0.490405504821087,0.139516037718369,0.262048546560039,-0.0180067566241275,1.21465209002025e-08,0.263751888399104,0.00431223469182584,168
EEG_Offset_WholeBrain,0.315664886941317,,18.7968495221078,1.00312328860134e-12,-0.109407257855702,0.315102612847721,0.148682350936271,0.225698102356254,-0.0183326249967423,4.52719839394433e-09,0.273539552016674,0.0027207367455595,168
EEG_Hurst_Frontal,0.106798748032149,,4.87241701992902,0.000975719551845678,-0.195620194688119,0.116719799898712,-0.0222598624246385,0.873576980045446,-0.0107792030204174,0.00170942759613646,0.181779249990995,0.0784703902381063,168
EEG_Hurst_Central,0.135179458195696,,6.36960231076604,8.69499511209569e-05,-0.145976796578926,0.233433789849763,-0.0867414021812596,0.528843893013257,-0.0151992392652751,9.56599020507376e-06,0.0786821721368261,0.437146154879082,168
EEG_Hurst_temporal_r,0.149772325132752,,7.17833873157867,2.38730405740754e-05,-0.149619550665787,0.218118301591038,-0.101877095730506,0.4557885530773,-0.0162351382529868,2.06539899783031e-06,0.0684785149904225,0.495125308619757,168
EEG_Hurst_temporal_l,0.112432581756537,,5.16200528816863,0.000610158930506904,-0.191044528652467,0.124272215821446,-0.0798551803600806,0.567078977330481,-0.0134644627273282,9.71096755011391e-05,0.0757514458244321,0.460212329474179,168
EEG_Hurst_parietal_r,0.118020354807498,,5.45288032963149,0.000381015377242133,-0.124882208836512,0.312481639232785,-0.0249046351189941,0.857820783058073,-0.0127007273825527,0.000218140512237452,0.154264006827174,0.132405985157469,168
EEG_Hurst_parietal_l,0.113818901418158,,5.23382888690844,0.0005431460157235,-0.0757785417633629,0.540512274540272,-0.0108145783724366,0.938136676596001,-0.0127431542863136,0.000215237387290346,0.135843403879935,0.185865104751841,168
EEG_Hurst_Occipital,0.0948503589085651,,4.27018025534802,0.00259263057327496,-0.112700435670635,0.3680919748066,-0.111289953912189,0.42980716797014,-0.0129413275057387,0.000201086552656049,0.0802424092404772,0.43858824961886,168
EEG_Hurst_WholeBrain,0.12994045822216,,6.08587506750784,0.000137192495196938,-0.152716868015789,0.214022419491883,-0.0648062289870469,0.638909774028962,-0.0141483338008335,3.70889388856543e-05,0.124183380100095,0.222086096174545,168
EEG_Delta_Frontal,0.0643057322826401,,2.80055000968452,0.0277119370843091,-0.155889225000163,0.221258766823427,0.137624147022632,0.337137999905627,-0.00646343331553526,0.0634787062896132,0.0450984358636649,0.668327337237754,168
EEG_Delta_Central,0.210210082681922,,10.845999273296,8.047163265985e-08,-0.123630577822312,0.29074123787624,0.169809974635919,0.19788212587567,-0.0141742575943904,1.51935904817435e-05,0.204036882356254,0.0360635359788415,168
