$participant_id
x <character> 
# total N=210 valid N=210 mean=105.50 sd=60.77

Value                | N | Raw % | Valid % | Cum. %
Q1K_HSJ_100131_S1    | 1 |  0.48 |    0.48 |  51.90
Q1K_HSJ_100134_S1    | 1 |  0.48 |    0.48 |  52.38
Q1K_HSJ_100147_P     | 1 |  0.48 |    0.48 |  52.86
Q1K_HSJ_100150_P     | 1 |  0.48 |    0.48 |  53.33
Q1K_HSJ_100152_P     | 1 |  0.48 |    0.48 |  53.81
Q1K_HSJ_100157_P     | 1 |  0.48 |    0.48 |  54.29
Q1K_HSJ_100162_P     | 1 |  0.48 |    0.48 |  54.76
Q1K_HSJ_100162_S1    | 1 |  0.48 |    0.48 |  55.24
Q1K_HSJ_10043_P      | 1 |  0.48 |    0.48 |  55.71
Q1K_HSJ_10050_P      | 1 |  0.48 |    0.48 |  56.19
Q1K_HSJ_10053_P      | 1 |  0.48 |    0.48 |  56.67
Q1K_HSJ_10064_P      | 1 |  0.48 |    0.48 |  57.14
Q1K_HSJ_10064_S1     | 1 |  0.48 |    0.48 |  57.62
Q1K_HSJ_10083_P      | 1 |  0.48 |    0.48 |  58.10
Q1K_HSJ_10086_P      | 1 |  0.48 |    0.48 |  58.57
Q1K_HSJ_1525-1001_P  | 1 |  0.48 |    0.48 |  59.05
Q1K_HSJ_1525-1006_P  | 1 |  0.48 |    0.48 |  59.52
Q1K_HSJ_1525-1009_P  | 1 |  0.48 |    0.48 |  60.00
Q1K_HSJ_1525-1009_S1 | 1 |  0.48 |    0.48 |  60.48
Q1K_HSJ_1525-1012_P  | 1 |  0.48 |    0.48 |  60.95
Q1K_HSJ_1525-1021_P  | 1 |  0.48 |    0.48 |  61.43
Q1K_HSJ_1525-1024_P  | 1 |  0.48 |    0.48 |  61.90
Q1K_HSJ_1525-1026_P  | 1 |  0.48 |    0.48 |  62.38
Q1K_HSJ_1525-1028_P  | 1 |  0.48 |    0.48 |  62.86
Q1K_HSJ_1525-1028_S1 | 1 |  0.48 |    0.48 |  63.33
Q1K_HSJ_1525-1028_S2 | 1 |  0.48 |    0.48 |  63.81
Q1K_HSJ_1525-1033_P  | 1 |  0.48 |    0.48 |  64.29
Q1K_HSJ_1525-1037_P  | 1 |  0.48 |    0.48 |  64.76
Q1K_HSJ_1525-1040_P  | 1 |  0.48 |    0.48 |  65.24
Q1K_HSJ_1525-1042_P  | 1 |  0.48 |    0.48 |  65.71
Q1K_HSJ_1525-1045_P  | 1 |  0.48 |    0.48 |  66.19
Q1K_HSJ_1525-1045_S1 | 1 |  0.48 |    0.48 |  66.67
Q1K_HSJ_1525-1052_P  | 1 |  0.48 |    0.48 |  67.14
Q1K_HSJ_1525-1052_S1 | 1 |  0.48 |    0.48 |  67.62
Q1K_HSJ_1525-1057_P  | 1 |  0.48 |    0.48 |  68.10
Q1K_HSJ_1525-1061_P  | 1 |  0.48 |    0.48 |  68.57
Q1K_HSJ_1525-1061_S3 | 1 |  0.48 |    0.48 |  69.05
Q1K_HSJ_1525-1067_P  | 1 |  0.48 |    0.48 |  69.52
Q1K_HSJ_1525-1078_P  | 1 |  0.48 |    0.48 |  70.00
Q1K_HSJ_1525-1080_P  | 1 |  0.48 |    0.48 |  70.48
Q1K_HSJ_1525-1083_P  | 1 |  0.48 |    0.48 |  70.95
Q1K_HSJ_1525-1083_S1 | 1 |  0.48 |    0.48 |  71.43
