$participant_id
x <character> 
# total N=210 valid N=210 mean=105.50 sd=60.77

Value                | N | Raw % | Valid % | Cum. %
 8.45 | 1 |  0.48 |    0.48 |  34.29
 8.47 | 1 |  0.48 |    0.48 |  34.76
 8.50 | 1 |  0.48 |    0.48 |  35.24
 8.59 | 1 |  0.48 |    0.48 |  35.71
 8.61 | 1 |  0.48 |    0.48 |  36.19
 8.66 | 1 |  0.48 |    0.48 |  36.67
 8.67 | 1 |  0.48 |    0.48 |  37.14
 8.71 | 1 |  0.48 |    0.48 |  37.62
 8.76 | 2 |  0.95 |    0.95 |  38.57
 8.77 | 1 |  0.48 |    0.48 |  39.05
 8.88 | 1 |  0.48 |    0.48 |  39.52
 8.94 | 1 |  0.48 |    0.48 |  40.00
 9.07 | 1 |  0.48 |    0.48 |  40.48
 9.09 | 1 |  0.48 |    0.48 |  40.95
 9.13 | 1 |  0.48 |    0.48 |  41.43
 9.14 | 1 |  0.48 |    0.48 |  41.90
 9.22 | 1 |  0.48 |    0.48 |  42.38
 9.26 | 1 |  0.48 |    0.48 |  42.86
 9.28 | 1 |  0.48 |    0.48 |  43.33
 9.37 | 1 |  0.48 |    0.48 |  43.81
 9.45 | 1 |  0.48 |    0.48 |  44.29
 9.47 | 1 |  0.48 |    0.48 |  44.76
 9.49 | 1 |  0.48 |    0.48 |  45.24
 9.56 | 1 |  0.48 |    0.48 |  45.71
 9.58 | 1 |  0.48 |    0.48 |  46.19
 9.67 | 1 |  0.48 |    0.48 |  46.67
 9.69 | 1 |  0.48 |    0.48 |  47.14
 9.74 | 1 |  0.48 |    0.48 |  47.62
 9.74 | 1 |  0.48 |    0.48 |  48.10
 9.96 | 1 |  0.48 |    0.48 |  48.57
10.03 | 1 |  0.48 |    0.48 |  49.05
10.04 | 1 |  0.48 |    0.48 |  49.52
10.11 | 1 |  0.48 |    0.48 |  50.00
10.20 | 1 |  0.48 |    0.48 |  50.48
10.21 | 1 |  0.48 |    0.48 |  50.95
10.23 | 1 |  0.48 |    0.48 |  51.43
10.25 | 1 |  0.48 |    0.48 |  51.90
10.27 | 1 |  0.48 |    0.48 |  52.38
10.27 | 1 |  0.48 |    0.48 |  52.86
10.30 | 1 |  0.48 |    0.48 |  53.33
10.31 | 1 |  0.48 |    0.48 |  53.81
10.32 | 1 |  0.48 |    0.48 |  54.29
10.46 | 1 |  0.48 |    0.48 |  54.76
10.49 | 1 |  0.48 |    0.48 |  55.24
10.54 | 1 |  0.48 |    0.48 |  55.71
10.55 | 1 |  0.48 |    0.48 |  56.19
10.61 | 1 |  0.48 |    0.48 |  56.67
10.63 | 1 |  0.48 |    0.48 |  57.14
10.75 | 1 |  0.48 |    0.48 |  57.62
10.75 | 1 |  0.48 |    0.48 |  58.10
10.76 | 1 |  0.48 |    0.48 |  58.57
10.89 | 1 |  0.48 |    0.48 |  59.05
10.93 | 1 |  0.48 |    0.48 |  59.52
10.94 | 1 |  0.48 |    0.48 |  60.00
10.95 | 1 |  0.48 |    0.48 |  60.48
11.09 | 1 |  0.48 |    0.48 |  60.95
11.16 | 1 |  0.48 |    0.48 |  61.43
11.19 | 1 |  0.48 |    0.48 |  61.90
11.20 | 1 |  0.48 |    0.48 |  62.38
11.20 | 1 |  0.48 |    0.48 |  62.86
11.21 | 1 |  0.48 |    0.48 |  63.33
11.22 | 1 |  0.48 |    0.48 |  63.81
11.30 | 1 |  0.48 |    0.48 |  64.29
11.31 | 1 |  0.48 |    0.48 |  64.76
11.40 | 1 |  0.48 |    0.48 |  65.24
11.57 | 1 |  0.48 |    0.48 |  65.71
11.65 | 1 |  0.48 |    0.48 |  66.19
11.66 | 1 |  0.48 |    0.48 |  66.67
11.82 | 1 |  0.48 |    0.48 |  67.14
12.05 | 1 |  0.48 |    0.48 |  67.62
12.14 | 1 |  0.48 |    0.48 |  68.10
12.16 | 1 |  0.48 |    0.48 |  68.57
12.17 | 1 |  0.48 |    0.48 |  69.05
12.21 | 1 |  0.48 |    0.48 |  69.52
12.22 | 1 |  0.48 |    0.48 |  70.00
12.26 | 1 |  0.48 |    0.48 |  70.48
12.32 | 1 |  0.48 |    0.48 |  70.95
12.36 | 1 |  0.48 |    0.48 |  71.43
12.47 | 1 |  0.48 |    0.48 |  71.90
12.60 | 1 |  0.48 |    0.48 |  72.38
12.67 | 1 |  0.48 |    0.48 |  72.86
12.71 | 1 |  0.48 |    0.48 |  73.33
12.80 | 1 |  0.48 |    0.48 |  73.81
12.81 | 1 |  0.48 |    0.48 |  74.29
12.87 | 1 |  0.48 |    0.48 |  74.76
12.88 | 1 |  0.48 |    0.48 |  75.24
12.93 | 1 |  0.48 |    0.48 |  75.71
13.00 | 2 |  0.95 |    0.95 |  76.67
13.01 | 1 |  0.48 |    0.48 |  77.14
13.25 | 1 |  0.48 |    0.48 |  77.62
13.28 | 1 |  0.48 |    0.48 |  78.10
13.29 | 1 |  0.48 |    0.48 |  78.57
13.37 | 1 |  0.48 |    0.48 |  79.05
13.58 | 1 |  0.48 |    0.48 |  79.52
13.63 | 1 |  0.48 |    0.48 |  80.00
13.66 | 1 |  0.48 |    0.48 |  80.48
13.70 | 1 |  0.48 |    0.48 |  80.95
13.76 | 1 |  0.48 |    0.48 |  81.43
13.80 | 1 |  0.48 |    0.48 |  81.90
14.01 | 1 |  0.48 |    0.48 |  82.38
14.06 | 2 |  0.95 |    0.95 |  83.33
14.12 | 1 |  0.48 |    0.48 |  83.81
14.29 | 1 |  0.48 |    0.48 |  84.29
14.45 | 1 |  0.48 |    0.48 |  84.76
14.56 | 1 |  0.48 |    0.48 |  85.24
14.64 | 1 |  0.48 |    0.48 |  85.71
14.68 | 1 |  0.48 |    0.48 |  86.19
14.74 | 1 |  0.48 |    0.48 |  86.67
14.80 | 1 |  0.48 |    0.48 |  87.14
14.98 | 1 |  0.48 |    0.48 |  87.62
15.06 | 1 |  0.48 |    0.48 |  88.10
15.10 | 1 |  0.48 |    0.48 |  88.57
15.20 | 1 |  0.48 |    0.48 |  89.05
15.29 | 1 |  0.48 |    0.48 |  89.52
15.38 | 1 |  0.48 |    0.48 |  90.00
15.51 | 1 |  0.48 |    0.48 |  90.48
15.53 | 1 |  0.48 |    0.48 |  90.95
15.80 | 1 |  0.48 |    0.48 |  91.43
16.04 | 1 |  0.48 |    0.48 |  91.90
16.07 | 1 |  0.48 |    0.48 |  92.38
16.22 | 1 |  0.48 |    0.48 |  92.86
16.27 | 1 |  0.48 |    0.48 |  93.33
16.52 | 1 |  0.48 |    0.48 |  93.81
16.72 | 1 |  0.48 |    0.48 |  94.29
16.76 | 1 |  0.48 |    0.48 |  94.76
16.91 | 1 |  0.48 |    0.48 |  95.24
17.02 | 1 |  0.48 |    0.48 |  95.71
17.03 | 2 |  0.95 |    0.95 |  96.67
17.19 | 1 |  0.48 |    0.48 |  97.14
17.33 | 1 |  0.48 |    0.48 |  97.62
17.33 | 1 |  0.48 |    0.48 |  98.10
17.41 | 1 |  0.48 |    0.48 |  98.57
17.91 | 1 |  0.48 |    0.48 |  99.05
17.93 | 1 |  0.48 |    0.48 |  99.52
17.97 | 1 |  0.48 |    0.48 | 100.00
 <NA> | 0 |  0.00 |    <NA> |   <NA>

$sex
x <character> 
# total N=210 valid N=210 mean=1.58 sd=0.50

Value |   N | Raw % | Valid % | Cum. %
--------------------------------------
F     |  89 | 42.38 |   42.38 |  42.38
M     | 121 | 57.62 |   57.62 | 100.00
<NA>  |   0 |  0.00 |    <NA> |   <NA>

$ASD
x <integer> 
# total N=210 valid N=189 mean=0.32 sd=0.47

Value |   N | Raw % | Valid % | Cum. %
--------------------------------------
    0 | 128 | 60.95 |   67.72 |  67.72
    1 |  61 | 29.05 |   32.28 | 100.00
 <NA> |  21 | 10.00 |    <NA> |   <NA>

$ASD_behavior
x <integer> 
# total N=210 valid N=90 mean=0.13 sd=0.34

Value |   N | Raw % | Valid % | Cum. %
--------------------------------------
    0 |  78 | 37.14 |   86.67 |  86.67
    1 |  12 |  5.71 |   13.33 | 100.00
 <NA> | 120 | 57.14 |    <NA> |   <NA>

$ADHD
x <integer> 
# total N=210 valid N=189 mean=0.49 sd=0.50

Value |  N | Raw % | Valid % | Cum. %
-------------------------------------
    0 | 97 | 46.19 |   51.32 |  51.32
    1 | 92 | 43.81 |   48.68 | 100.00
 <NA> | 21 | 10.00 |    <NA> |   <NA>

$No.ASD.ADHD
x <integer> 
# total N=210 valid N=210 mean=0.38 sd=0.49

Value |   N | Raw % | Valid % | Cum. %
--------------------------------------
    0 | 130 | 61.90 |   61.90 |  61.90
    1 |  80 | 38.10 |   38.10 | 100.00
 <NA> |   0 |  0.00 |    <NA> |   <NA>

$IQ
x <integer> 
# total N=210 valid N=158 mean=89.27 sd=21.12

Value |  N | Raw % | Valid % | Cum. %
-------------------------------------
   30 |  1 |  0.48 |    0.63 |   0.63
   42 |  1 |  0.48 |    0.63 |   1.27
   45 |  2 |  0.95 |    1.27 |   2.53
   47 |  1 |  0.48 |    0.63 |   3.16
   51 |  1 |  0.48 |    0.63 |   3.80
   54 |  1 |  0.48 |    0.63 |   4.43
   55 |  1 |  0.48 |    0.63 |   5.06
   58 |  2 |  0.95 |    1.27 |   6.33
   59 |  2 |  0.95 |    1.27 |   7.59
   60 |  1 |  0.48 |    0.63 |   8.23
   61 |  2 |  0.95 |    1.27 |   9.49
   62 |  4 |  1.90 |    2.53 |  12.03
   64 |  2 |  0.95 |    1.27 |  13.29
   65 |  2 |  0.95 |    1.27 |  14.56
   66 |  2 |  0.95 |    1.27 |  15.82
   67 |  1 |  0.48 |    0.63 |  16.46
   68 |  1 |  0.48 |    0.63 |  17.09
   69 |  2 |  0.95 |    1.27 |  18.35
   70 |  5 |  2.38 |    3.16 |  21.52
   71 |  3 |  1.43 |    1.90 |  23.42
   72 |  2 |  0.95 |    1.27 |  24.68
   73 |  2 |  0.95 |    1.27 |  25.95
   74 |  3 |  1.43 |    1.90 |  27.85
   75 |  2 |  0.95 |    1.27 |  29.11
   76 |  1 |  0.48 |    0.63 |  29.75
   77 |  1 |  0.48 |    0.63 |  30.38
   78 |  4 |  1.90 |    2.53 |  32.91
   79 |  1 |  0.48 |    0.63 |  33.54
   80 |  2 |  0.95 |    1.27 |  34.81
   81 |  3 |  1.43 |    1.90 |  36.71
   82 |  2 |  0.95 |    1.27 |  37.97
   83 |  3 |  1.43 |    1.90 |  39.87
   84 |  2 |  0.95 |    1.27 |  41.14
   85 |  2 |  0.95 |    1.27 |  42.41
   86 |  2 |  0.95 |    1.27 |  43.67
   87 |  4 |  1.90 |    2.53 |  46.20
   88 |  2 |  0.95 |    1.27 |  47.47
   89 |  4 |  1.90 |    2.53 |  50.00
   91 |  1 |  0.48 |    0.63 |  50.63
   92 |  7 |  3.33 |    4.43 |  55.06
   93 |  2 |  0.95 |    1.27 |  56.33
   94 |  2 |  0.95 |    1.27 |  57.59
   95 |  4 |  1.90 |    2.53 |  60.13
   96 |  1 |  0.48 |    0.63 |  60.76
   97 |  3 |  1.43 |    1.90 |  62.66
   98 |  3 |  1.43 |    1.90 |  64.56
   99 |  2 |  0.95 |    1.27 |  65.82
  100 |  3 |  1.43 |    1.90 |  67.72
  101 |  3 |  1.43 |    1.90 |  69.62
  103 |  1 |  0.48 |    0.63 |  70.25
  104 |  4 |  1.90 |    2.53 |  72.78
  105 |  2 |  0.95 |    1.27 |  74.05
  106 |  2 |  0.95 |    1.27 |  75.32
  107 |  2 |  0.95 |    1.27 |  76.58
  108 |  2 |  0.95 |    1.27 |  77.85
  109 |  4 |  1.90 |    2.53 |  80.38
  110 |  3 |  1.43 |    1.90 |  82.28
  111 |  2 |  0.95 |    1.27 |  83.54
  112 |  4 |  1.90 |    2.53 |  86.08
  113 |  2 |  0.95 |    1.27 |  87.34
  115 |  2 |  0.95 |    1.27 |  88.61
  116 |  3 |  1.43 |    1.90 |  90.51
  117 |  1 |  0.48 |    0.63 |  91.14
  118 |  1 |  0.48 |    0.63 |  91.77
  120 |  2 |  0.95 |    1.27 |  93.04
  121 |  3 |  1.43 |    1.90 |  94.94
  123 |  2 |  0.95 |    1.27 |  96.20
  124 |  1 |  0.48 |    0.63 |  96.84
  126 |  2 |  0.95 |    1.27 |  98.10
  128 |  1 |  0.48 |    0.63 |  98.73
  132 |  2 |  0.95 |    1.27 | 100.00
 <NA> | 52 | 24.76 |    <NA> |   <NA>

$highest_education_level
x <character> 
# total N=210 valid N=210 mean=7.83 sd=4.66

Value                                                         |  N | Raw % | Valid % | Cum. %
---------------------------------------------------------------------------------------------
                                                              |  8 |  3.81 |    3.81 |   3.81
Apprenticeship or other trades certificate or diploma         | 13 |  6.19 |    6.19 |  10.00
Apprenticeship, vocational education or training              | 11 |  5.24 |    5.24 |  15.24
Bachelor                                                      | 24 | 11.43 |   11.43 |  26.67
Bachelor's degree                                             | 34 | 16.19 |   16.19 |  42.86
College, CEGEP or other non-university certificate or diploma | 24 | 11.43 |   11.43 |  54.29
Completed high school or baccalaureate (18 years old)         | 13 |  6.19 |    6.19 |  60.48
Completed mandatory school (15 years old)                     |  7 |  3.33 |    3.33 |  63.81
Doctorate                                                     |  6 |  2.86 |    2.86 |  66.67
Elementary school or less                                     |  4 |  1.90 |    1.90 |  68.57
High school diploma or certificate                            |  5 |  2.38 |    2.38 |  70.95
Master                                                        |  8 |  3.81 |    3.81 |  74.76
Master's degree                                               |  9 |  4.29 |    4.29 |  79.05
Non-applicable (Child still in school)                        | 23 | 10.95 |   10.95 |  90.00
Other                                                         |  5 |  2.38 |    2.38 |  92.38
Some high school                                              | 11 |  5.24 |    5.24 |  97.62
Special education                                             |  5 |  2.38 |    2.38 | 100.00
<NA>                                                          |  0 |  0.00 |    <NA> |   <NA>

$family_ethnicity
x <character> 
# total N=210 valid N=210 mean=24.54 sd=13.38

Value                                            |  N | Raw % | Valid % | Cum. %
--------------------------------------------------------------------------------
                                                 | 12 |  5.71 |    5.71 |   5.71
Africain                                         |  1 |  0.48 |    0.48 |   6.19
Algérie                                          |  4 |  1.90 |    1.90 |   8.10
Amérindien/CF                                    |  1 |  0.48 |    0.48 |   8.57
Arab                                             |  1 |  0.48 |    0.48 |   9.05
Black                                            |  5 |  2.38 |    2.38 |  11.43
Brésil/CF                                        |  1 |  0.48 |    0.48 |  11.90
Caucasian                                        |  2 |  0.95 |    0.95 |  12.86
Caucasien                                        |  2 |  0.95 |    0.95 |  13.81
Caucasien/latin                                  |  1 |  0.48 |    0.48 |  14.29
Caucasien/Latino                                 |  1 |  0.48 |    0.48 |  14.76
Caucasienne                                      |  1 |  0.48 |    0.48 |  15.24
CF                                               | 47 | 22.38 |   22.38 |  37.62
CF/Espagne                                       |  1 |  0.48 |    0.48 |  38.10
CF/portugal                                      |  1 |  0.48 |    0.48 |  38.57
Chine                                            |  2 |  0.95 |    0.95 |  39.52
Chinese                                          |  1 |  0.48 |    0.48 |  40.00
France/CF                                        |  2 |  0.95 |    0.95 |  40.95
French Canadian                                  |  9 |  4.29 |    4.29 |  45.24
French Canadian/European                         |  1 |  0.48 |    0.48 |  45.71
French Canadien                                  |  1 |  0.48 |    0.48 |  46.19
Grec/CF                                          |  1 |  0.48 |    0.48 |  46.67
Haiti                                            |  3 |  1.43 |    1.43 |  48.10
Ile Marice                                       |  1 |  0.48 |    0.48 |  48.57
Indigenous, White_Caucasian                      |  1 |  0.48 |    0.48 |  49.05
Italie/CF                                        |  1 |  0.48 |    0.48 |  49.52
Italie/Mexique                                   |  1 |  0.48 |    0.48 |  50.00
Latin_American                                   |  3 |  1.43 |    1.43 |  51.43
Latin_American, Southeast_Asian, White_Caucasian |  1 |  0.48 |    0.48 |  51.90
Moyen-Orient                                     |  1 |  0.48 |    0.48 |  52.38
Other_ethnicity                                  |  2 |  0.95 |    0.95 |  53.33
Portugais                                        |  1 |  0.48 |    0.48 |  53.81
Portugal/France                                  |  1 |  0.48 |    0.48 |  54.29
Roumanie/Espagne                                 |  1 |  0.48 |    0.48 |  54.76
Southeast_Asian                                  |  1 |  0.48 |    0.48 |  55.24
Unknown                                          | 14 |  6.67 |    6.67 |  61.90
West_Asian                                       |  1 |  0.48 |    0.48 |  62.38
White_Caucasian                                  | 76 | 36.19 |   36.19 |  98.57
White_Caucasian, Other_ethnicity                 |  3 |  1.43 |    1.43 | 100.00
<NA>                                             |  0 |  0.00 |    <NA> |   <NA>

